"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"7974e888-d49c-411b-999a-7e5e6230bad8","China_output001_text.txt","Hainan","char-offset:80","PLACE","http://sws.geonames.org/8512041","Hainan","","47.23223","126.98093","","VERIFIED","","","",""
"bf244d58-1349-4b4f-9e21-121209e07ba0","China_output001_text.txt","Pe-che-li,","char-offset:147","PLACE","","","","","","","UNVERIFIED","","Possibly the equivalent of modern Hebei province, https://en.wikipedia.org/wiki/Hebei

39.179025448793844, 115.33363231047555","",""
"d2cd5501-7597-45b8-9618-2d1d86f15dc9","China_output001_text.txt","Voltaire","char-offset:323","PERSON","","","","","","","","","https://en.wikipedia.org/wiki/Voltaire","",""
"0ef7c0ea-51a8-4bed-9d15-ed247fb37d64","China_output001_text.txt","Lord Macartney’s embassy","char-offset:1100","EVENT","","","","","","","","","https://en.wikipedia.org/wiki/Macartney_Embassy","",""
"21ee0454-d316-4d32-afe6-2ace5a463c62","China_output002_text.txt","Confucius","char-offset:376","PERSON","","","","","","","","Confucius","https://en.wikipedia.org/wiki/Confucius","",""
"93da250c-4307-4925-917f-4f94bf90eac5","China_output002_text.txt","Auking","char-offset:394","","","","","","","","","","https://factsanddetails.com/china/cat3/sub9/entry-5556.html","",""
"e6f54367-e78a-4fc8-b4e1-f155ac48b867","China_output003_text.txt","Montesquieu","char-offset:944","PERSON","","","","","","","","","https://en.wikipedia.org/wiki/Montesquieu","",""
"e7efe51c-3018-48d4-a739-f12ebd5d2782","China_output003_text.txt","Spirit of Laws","char-offset:1586","","","","","","","","","","https://oll.libertyfund.org/title/montesquieu-complete-works-vol-1-the-spirit-of-laws","",""
"35c75bbe-615f-4c63-a701-a75ee64efec4","China_output004_text.txt","Lord Anson","char-offset:389","PERSON","","","","","","","","","https://en.wikipedia.org/wiki/George_Anson,_1st_Baron_Anson","",""
"6a5b5e3f-db1f-42cb-b001-9c5a2b6532e4","China_output004_text.txt","Anson’s account","char-offset:394","","","","","","","","","Taith Anson / Anson's voyage","https://en.wikipedia.org/wiki/George_Anson%27s_voyage_around_the_world","",""
"f78437b7-e52e-4a80-96ad-ea9c5e595496","China_output004_text.txt","Du Halde","char-offset:670","PERSON","","","","","","","","","https://en.wikipedia.org/wiki/Jean-Baptiste_Du_Halde","",""
"374195e2-db77-478d-9c2b-09cc3bfaa073","China_output004_text.txt","Du Halde tells","char-offset:670","","","","","","","","","Jean-Baptiste Du Halde|Description géographique|historique|chronologique|politique et physique de l'Empire de la Chine et de la Tartarie chinoise (4 cyf.|Paris|1735)","","",""
"d6f38e49-c38a-4a89-9a68-f83f77a17ac9","China_output004_text.txt","story of an English captain","char-offset:696","","","","","","","","","","Nothing can be more ridiculous than what happen'd to a Captain of an English Ship; he had agreed with a Chinese Merchant of Canton for a great number of Bales of Silk, which he was to furnish him with when they were ready; the Master went with his Interpreter, to the House of the Chinese, to examine/ himself if the Silk was in a right Condition; they opened the first Bale, and it proved good, but the rest contained nothing but decay'd Silks, upon which he grew very angry, and reproached the Chinese in the severest Terms of for his Disingenuity and Knavery; the Chinese heard him, and made only this Reply, Blame, Sir, says he, your Rascal of an Interpreter, for he protested to me that he would not open the Bales. [NEW PARA] This Ingenuity in Fraud is principally observed among the Volgar, who have recourse to a thousand Tricks to adulterate what they sell ... Du Halde, The General History of China, Chinese Tartary &c [3rd edn. of English translation 1741, 4 vols], pp. 132-3 https://archive.org/details/generalhistoryof02duha/page/132/mode/2up?view=theater","",""
"ff1396c1-375e-40e7-a4b1-ebad7619040c","China_output005_text.txt","Fe-hi","char-offset:688","PERSON","","","","","","","","Fu Xi","https://www.britannica.com/topic/Fu-Xi","",""
"c58df6a2-109a-44b1-9d39-4ab4043d7fa8","China_output005_text.txt","Phaleg","char-offset:712","PERSON","","","","","","","","","https://en.wikipedia.org/wiki/Peleg","",""
"66a0640d-e90a-4ec3-9637-86290d0fcaaf","China_output005_text.txt","Heber","char-offset:723","PERSON","","","","","","","","","https://en.wikipedia.org/wiki/Eber","",""
"85e8779a-dcf1-4356-a055-9120eecedf0a","China_output006_text.txt","Fo-hi","char-offset:0","PERSON","","","","","","","","Fu Xi","","",""
"bc2ebac1-7ce6-4859-ab6c-e3563e65296f","China_output006_text.txt","Noah","char-offset:163","","","","","","","","","Noah","","",""
"00ec6142-ba1b-490f-afb9-2a8bc6c4c180","China_output006_text.txt","They acknowledged one great and supreme Being,","char-offset:169","","","","","","","","","","Du Halde, III, p. 16: The chief Object of their Worship is the Supreme Being, Lord and chief Sovereign of all things, which they worshipped under tha Name of Chang ti, that is Supreme Emperor, or Tien, which, according to the Chinese, signifies the same thing; Tien, say the Interpreters, is the Spririt that presides in Heaven, because Heaven is thte most excellent Work produced by the First Cause ... The Chinese say that the Father is the Tien of the Family, the Viceroy the Tien of the Province, and the Emperor the Tien of the Kingdom, &c'","",""
"fc802ccf-3c93-4da0-b8c0-1f6b53760910","China_output006_text.txt","they had their Pentateuch. Their five volumes correspondent with the Mosaical history are esteemed by them the source of all science and morality.","char-offset:958","","","","","","","","","","Du Halde, III, p. 16: Of this we find Traces in their ancient and valuable Books, which the Chinese call, by way of eminence, The Five Volumes, the Canonical or Classical Books of the highest Rank, which they look upon as the Source of all their Learning and Morality.
","",""
"e0549cc0-80e0-4293-9c65-8a782bf903d7","China_output006_text.txt","Confucius","char-offset:1154","PERSON","","","","","","","","Confucius","","",""
"d8d25aa0-0836-4887-aed4-a0c2621bb559","China_output006_text.txt","Pythagoras","char-offset:1182","PERSON","","","","","","","","Pythagoras","https://en.wikipedia.org/wiki/Pythagoras","",""
"27ed7977-010e-4748-9514-6f7f625d6132","China_output006_text.txt","Lau-kyun","char-offset:1510","PERSON","","","","","","","","Lau-kyun","https://books.google.co.uk/books?id=ZysVAAAAQAAJ&pg=PA417&lpg=PA417&dq=lau-kyun&source=bl&ots=IqfXjsH-vS&sig=ACfU3U2GC7B2EcpLcuo6FRi-G_mYKJaUAg&hl=en&sa=X&ved=2ahUKEwjFuv2p5d72AhUQTcAKHW_2DDgQ6AF6BAg1EAM#v=onepage&q=lau-kyun&f=false","",""
"ccbaab46-b9e8-4908-a4b5-016c7fd34742","China_output007_text.txt","Fo-h","char-offset:560","","","","","","","","","Fu Xi","","",""
"8c7134ca-5b58-4078-a260-2545133a4d53","China_output007_text.txt","India","char-offset:606","PLACE","http://sws.geonames.org/1269750","India","","23.01035740062025","79.61702627978634","","VERIFIED","","","",""
"7bab5019-dd6c-411d-aadd-b57db47c78c5","China_output007_text.txt","An emperor dreamed of a saying of Confucius, that the Holy-one was to be found in the West","char-offset:654","","","","","","","","","","Du Halde, vol. III, 'On the Sect of Fo, or Foë', esp. pp. 33-4: 'about sixty-five Years from the Birth of Christ the / Emperor Ming ti introduced a new Sect into China still more dangerous than the former, and has made a much more rapid Progress. [NP] This Prince happened to dram one Night, and among other things there occurred to his Mind a Sentence which Confucius often repeated, vix. That the mOst Holy was to be found in the West; upon this he sent Ambassadors into the Indies to discover who this Saint was, and to seek for the true Law which he there taught; the Ambassadors supposed they had found him among the Wortshippers of the Idol Fo or Foë, and they transported this Idol into China, and with it the Fables wherewith the Indian Books were filled. [continues over several pages to describe what TP describes succinctly as 'the extravagances of the Hindoo mythology'; TP echoes mention of Bonzees [Bonzes for du Halde; name explained as European term for disciples of the idol Fo, p. 36], reference to Temples, idols]
","",""
"8eddc879-d8fe-4b7c-9c4e-45d6e6bb90b9","China_output007_text.txt","Confucius","char-offset:688","","","","","","","","","Confucius","","",""
"2c30b8c4-dd6c-4fa8-bd37-3f45bbb77ab5","China_output007_text.txt","India","char-offset:769","PLACE","http://sws.geonames.org/1269750","India","","23.01035740062025","79.61702627978634","","VERIFIED","","","",""
"152e5b54-8d14-41c6-a65f-97566605aea1","China_output007_text.txt","brought back the monstrous image Fo, and all the extravagances of the Hindoo mythology","char-offset:780","","","","","","","","","","Du Halde, III, p. 35: he [the dreamer - emperor for TP, Prince for Du Halde] sent Ambassadors into the Indies to discover who this Saint was, and to seek for the true Law which he there taught; the Ambassadors supposed they had found him among the Worshippers of the Idol Fo or Foë, and they transported this Idol into China, and with it the Fables whereiwth the Indian Books were filled'
","",""
"46a739cc-40bf-4b22-8cb4-1252d0c2511b","China_output007_text.txt","Judea","char-offset:1561","PLACE","http://geo-kima.org/place/5350","Judea (Region) (Israel)","","","","","VERIFIED","","","",""
